scientific_name_original,scientific_name_matched,common_name_en,iucn,at_way_canguk,at_way_titias,at_danau_ranau,habitat_tier,wcrs_text,wc_from_text_only,sources,birdnet_label,in_birdnet_v24
Prionochilus maculatus,Prionochilus maculatus,Yellow-breasted Flowerpecker,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Prionochilus maculatus_Yellow-breasted Flowerpecker,True
Psilopogon chrysopogon,Psilopogon chrysopogon,Gold-whiskered Barbet,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Psilopogon chrysopogon_Gold-whiskered Barbet,True
Psilopogon duvaucelii,Psilopogon duvaucelii,Black-eared Barbet,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Psilopogon duvaucelii_Blue-eared Barbet,True
Psilopogon henricii,Psilopogon henricii,Yellow-crowned Barbet,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA,Psilopogon henricii_Yellow-crowned Barbet,True
Psilopogon mystacophanos,Psilopogon mystacophanos,Red-throated Barbet,NT,True,True,True,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Psilopogon mystacophanos_Red-throated Barbet,True
Psilopogon pyrolophus,Psilopogon pyrolophus,Fire-tufted Barbet,,True,False,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Psilopogon pyrolophus_Fire-tufted Barbet,True
Psilopogon rafflesii,Psilopogon rafflesii,Red-crowned Barbet,NT,True,False,True,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_hotspot_L7940372,Psilopogon rafflesii_Red-crowned Barbet,True
Psittacula alexandri,Psittacula alexandri,Red-breasted Parakeet,,True,False,False,lowland,False,False,gooddie2015,Psittacula alexandri_Red-breasted Parakeet,True
Psittacula longicauda,Psittacula longicauda,Long-tailed Parakeet,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat,Psittacula longicauda_Long-tailed Parakeet,True
Psittinus cyanurus,Psittinus cyanurus,Blue-rumped Parrot,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Psittinus cyanurus_Blue-rumped Parrot,True
Pycnonotus atriceps,Brachypodius melanocephalos,Black-headed Bulbul,,True,True,True,lowland,False,False,gooddie2015,Brachypodius melanocephalos_Black-headed Bulbul,True
Pycnonotus aurigaster,Pycnonotus aurigaster,Sooty-headed Bulbul,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Pycnonotus aurigaster_Sooty-headed Bulbul,True
Pycnonotus brunneus,Pycnonotus brunneus,Red-eyed Bulbul,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Pycnonotus brunneus_Red-eyed Bulbul,True
Pycnonotus goiavier,Pycnonotus goiavier,Yellow-vented Bulbul,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Pycnonotus goiavier_Yellow-vented Bulbul,True
