locId,locName,speciesCode
L7940372,Camp Linggo (Tanggamus),brucuc2
L7940372,Camp Linggo (Tanggamus),brbnee1
L7940372,Camp Linggo (Tanggamus),houswi1
L7940372,Camp Linggo (Tanggamus),whitre1
L7940372,Camp Linggo (Tanggamus),whbwat1
L7940372,Camp Linggo (Tanggamus),bkskit1
L7940372,Camp Linggo (Tanggamus),jerbaz1
L7940372,Camp Linggo (Tanggamus),crseag1
L7940372,Camp Linggo (Tanggamus),y00839
L7940372,Camp Linggo (Tanggamus),brakit1
L7940372,Camp Linggo (Tanggamus),buchor1
L7940372,Camp Linggo (Tanggamus),wrehor1
L7940372,Camp Linggo (Tanggamus),rubkin1
L7940372,Camp Linggo (Tanggamus),whtkin2
L7940372,Camp Linggo (Tanggamus),colkin1
L7940372,Camp Linggo (Tanggamus),soobar2
L7940372,Camp Linggo (Tanggamus),copbar1
L7940372,Camp Linggo (Tanggamus),buebar2
L7940372,Camp Linggo (Tanggamus),recbar1
L7940372,Camp Linggo (Tanggamus),sunmin1
L7940372,Camp Linggo (Tanggamus),whbwoo4
L7940372,Camp Linggo (Tanggamus),comior1
L7940372,Camp Linggo (Tanggamus),tigshr1
L7940372,Camp Linggo (Tanggamus),ashtai1
L7940372,Camp Linggo (Tanggamus),barswa
L7940372,Camp Linggo (Tanggamus),blhbul1
L7940372,Camp Linggo (Tanggamus),crvbul1
L7940372,Camp Linggo (Tanggamus),olwbul1
L7940372,Camp Linggo (Tanggamus),yevbul1
L7940372,Camp Linggo (Tanggamus),moubab1
L7940372,Camp Linggo (Tanggamus),sumbab1
L7940372,Camp Linggo (Tanggamus),horbab2
L7940372,Camp Linggo (Tanggamus),rbwbab1
L7940372,Camp Linggo (Tanggamus),asgsta1
L7940372,Camp Linggo (Tanggamus),whvmyn
L7940372,Camp Linggo (Tanggamus),sibthr1
L7940372,Camp Linggo (Tanggamus),ferfly1
L7940372,Camp Linggo (Tanggamus),asbfly
L7940372,Camp Linggo (Tanggamus),larnil1
L7940372,Camp Linggo (Tanggamus),lessho1
L7940372,Camp Linggo (Tanggamus),whbsho9
L7940372,Camp Linggo (Tanggamus),shwthr1
L7940372,Camp Linggo (Tanggamus),blwthr1
L7940372,Camp Linggo (Tanggamus),whcfor1
L7940372,Camp Linggo (Tanggamus),chnfor1
L7940372,Camp Linggo (Tanggamus),rucfly1
L7940372,Camp Linggo (Tanggamus),crbflo1
L7940372,Camp Linggo (Tanggamus),orbflo1
L7940372,Camp Linggo (Tanggamus),plaflo2
L7940372,Camp Linggo (Tanggamus),olbsun4
L7940372,Camp Linggo (Tanggamus),lobspi1
L7940372,Camp Linggo (Tanggamus),eutspa
L7940372,Camp Linggo (Tanggamus),forwag1
L6349779,Danau Menjukut,lewduc1
L6349779,Danau Menjukut,whwduc1
L6349779,Danau Menjukut,redjun
L6349779,Danau Menjukut,gripig1
L6349779,Danau Menjukut,piipig1
L6349779,Danau Menjukut,savnig1
L6349779,Danau Menjukut,beathk1
L6349779,Danau Menjukut,whimbr5
L6349779,Danau Menjukut,tersan
L6349779,Danau Menjukut,pacreh1
L6349779,Danau Menjukut,strher1
L6349779,Danau Menjukut,greegr
L6349779,Danau Menjukut,purher1
L6349779,Danau Menjukut,osprey
L6349779,Danau Menjukut,bkskit1
L6349779,Danau Menjukut,comkin1
L6349779,Danau Menjukut,smbkin1
L6349779,Danau Menjukut,stbkin1
L6349779,Danau Menjukut,bncwoo2
L6349779,Danau Menjukut,blkmag1
L6349779,Danau Menjukut,ruttai1
L6349779,Danau Menjukut,pacswa1
L6349779,Danau Menjukut,asbfly
L6349779,Danau Menjukut,yevflo1
L6349779,Danau Menjukut,orbflo1
L6349779,Danau Menjukut,scbflo1
L6349779,Danau Menjukut,olbsun4
L6349779,Danau Menjukut,eacsun1
